FIC_MIS_DATE,N_EOP_BAL,V_ACCOUNT_NUMBER,V_CCY_CODE,V_PROD_CODE
30/4/2025,-1292344.21,3000201020-BANK-NA-NA-ZCDS01,USN,18803600-1015
30/4/2025,-3004.12,2000902190-BANK-NA-NA-ZACC20,USN,18702700-0912
30/4/2025,-185567.83,3000502010-BANK-NA-NA-ZDEF05,USN,16903500-0042
30/4/2025,5050370.01,3000802240-BANK-NA-NA-ZSDT01,USN,18803750-0192
30/4/2025,1960.13,3000804040-BANK-NA-NA-ZPRE07,USN,15301810-0225
30/4/2025,-16394.12,3000804040-BANK-NA-NA-ZPRE04,USN,15301820-0226
30/4/2025,-4189.20,3000804040-BANK-NA-NA-ZPRE08,USN,15301830-0227
30/4/2025,-429.74,3000804040-BANK-NA-NA-ZPRE09,USN,15301821-0228
30/4/2025,-342640.89,3001810230-BANK-NA-NA-ZBDD01,USN,16311000-0250
30/4/2025,-1039893.18,3000808330-BANK-NA-NA-ZSCR91,USN,18503200-0325
30/4/2025,-6171.83,2002818890-BANK-NA-NA-ZSUS04,USN,18502550-0333
30/4/2025,-145.04,3000809100-BANK-NA-NA-ZSCH01,USN,18505470-0352
30/4/2025,-98857.52,3000808330-BANK-NA-NA-ZSCR01,USN,18510400-0366
30/4/2025,77373.25,3000808330-BANK-NA-NA-ZSCR95,USN,18510541-0400
30/4/2025,491991.51,3000808330-BANK-NA-NA-ZSCR68,USN,18513390-0540
30/4/2025,-248077.67,3000808330-BANK-NA-NA-ZSCR78,USN,18514795-0632
30/4/2025,5103.00,3000807550-BANK-NA-NA-ZTOU01,USN,18505480-0772
30/4/2025,-189.73,3000808330-BANK-NA-NA-ZSCR10,USN,38252980-0798
30/4/2025,-100.00,3001810200-BANK-NA-NA-ZMUU01,USN,18505490-0812
30/4/2025,-72.17,3000808330-BANK-NA-NA-ZSCR02,USN,19000020-1455
30/4/2025,38.51,3000808330-BANK-NA-NA-ZSCR03,USN,19000030-1456
30/4/2025,32259.08,3000808330-BANK-NA-NA-ZSCR04,USN,19000040-1457
30/4/2025,5079.86,3000808330-BANK-NA-NA-ZSCR05,USN,19000050-1458
30/4/2025,-414.88,3000808330-BANK-NA-NA-ZSCR06,USN,19000060-1459
30/4/2025,2564.10,3000808330-BANK-NA-NA-ZSCR07,USN,19000070-1460
30/4/2025,0.00,3000808330-BANK-NA-NA-ZSCR08,USN,19000080-1461
30/4/2025,0.00,3000808330-BANK-NA-NA-ZSCR09,USN,19000100-1463
30/4/2025,111.95,3000808330-BANK-NA-NA-ZSCR11,USN,19000110-1464
30/4/2025,0.00,3000808330-BANK-NA-NA-ZSCR12,USN,19000120-1465
30/4/2025,0.00,3000808330-BANK-NA-NA-ZSCR13,USN,19000130-1466
30/4/2025,-634.96,3000808330-BANK-NA-NA-ZSCR14,USN,19000140-1467
30/4/2025,879.95,3000808330-BANK-NA-NA-ZSCR15,USN,19000150-1468
30/4/2025,344.54,3000808330-BANK-NA-NA-ZSCR16,USN,19000160-1469
30/4/2025,244.00,3000808330-BANK-NA-NA-ZSCR17,USN,19000170-1471
30/4/2025,13.00,3000808330-BANK-NA-NA-ZSCR18,USN,19000180-1472
30/4/2025,-49.86,3000808330-BANK-NA-NA-ZSCR19,USN,19000190-1473
30/4/2025,318.44,3000808330-BANK-NA-NA-ZSCR20,USN,19015000-1474
30/4/2025,-97.50,3000808330-BANK-NA-NA-ZSCR21,USN,19016000-1475
30/4/2025,1158.05,3000808330-BANK-NA-NA-ZSCR22,USN,19017000-1476
30/4/2025,0.00,3000808330-BANK-NA-NA-ZSCR23,USN,19018000-1477
30/4/2025,-215.80,3000808330-BANK-NA-NA-ZSCR94,USN,19019000-1478
30/4/2025,-13331.99,2002818890-BANK-NA-NA-ZSUS19,USN,35338000-2626
30/4/2025,-643192.26,2001504260-BANK-NA-NA-,USN,38258350-2903
30/4/2025,-6347.38,3000807200-BANK-NA-NA-ZSPC05,USN,44276150-3841
30/4/2025,-91848.51,3000807200-BANK-NA-NA-ZSPC38,USN,44281600-3845
30/4/2025,51172.57,3000807200-BANK-NA-NA-ZSPC23,USN,45352500-4282
30/4/2025,-1599806.06,2002818820-BANK-NA-NA-ZSCT01,USN,45728500-4332
30/4/2025,-3656760.93,3000807580-BANK-NA-NA-,USN,14509000-0170
30/4/2025,-730791.02,2001500040-BANK-SA54-NA-,USN,48295000-4856
30/4/2025,0.00,2002818640-BANKCUST-NA-NA-,USN,46440000-4610
30/4/2025,-5851.79,2001500040-BANK-SA59-NA-,USN,1010103-L3
30/4/2025,193112.10,3000900150-BANK-NA-NA-,USN,18502700-0000
30/4/2025,-552035.99,3000900080-BANK-NA-NA-,USN,1010103-L5
30/4/2025,-1389137.02,3000407040-BANK-ZW1H-NA-,USN,1010103-L6
30/4/2025,-401881.80,3000801520-BANK-SA59-NA-,USN,1010103-L7
30/4/2025,276659.44,2002818500-BANK-NA-NA-,USN,41081400-0000
30/4/2025,-1736661.49,365A,USN,1010103-L9
30/4/2025,-156124.65,365B,USN,1010103-L10
30/4/2025,-3855971.59,365C,USN,1010103-L11
30/4/2025,-2533227.05,365D,USN,1010103-L12
30/4/2025,-6136166.99,365E,USN,1010103-L13
